idx,member_label,gold_label,pred_label,correct,max_softmax,mentr,p_entailment,p_contradiction,p_neutral
0,1,0,2,0,0.4736330509185791,1.2899883028901402,0.280042439699173,0.24632452428340912,0.4736330509185791
1,1,1,1,1,0.4781021475791931,0.5854825317615531,0.1458633542060852,0.4781021475791931,0.37603455781936646
2,1,2,2,1,0.9042494297027588,0.014335624075741293,0.04723834618926048,0.04851222783327103,0.9042494297027588
3,1,0,0,1,0.9516526460647583,0.0044518759007966535,0.9516526460647583,0.0036641659680753946,0.044683124870061874
4,1,1,1,1,0.9814292192459106,0.0005570887395149663,0.013482585549354553,0.9814292192459106,0.005088179837912321
5,1,2,2,1,0.9064927697181702,0.01470249518041095,0.024702701717615128,0.06880447268486023,0.9064927697181702
6,1,0,0,1,0.9494647979736328,0.0040367548795012444,0.9494647979736328,0.017579682171344757,0.03295552730560303
7,1,1,1,1,0.9761123657226562,0.0009034329694155819,0.016312183812260628,0.9761123657226562,0.007575489114969969
8,1,2,2,1,0.9690883159637451,0.001577809249441741,0.023291397839784622,0.007620224263519049,0.9690883159637451
9,1,0,1,0,0.7821938395500183,2.8893269402607475,0.1400015652179718,0.7821938395500183,0.07780461013317108
10,1,1,1,1,0.7235012650489807,0.16275272838313673,0.025391465052962303,0.7235012650489807,0.25110724568367004
11,1,2,2,1,0.9920746088027954,9.686857538687094e-05,0.0050407820381224155,0.002884572371840477,0.9920746088027954
12,1,0,1,0,0.9323859214782715,5.074696989825547,0.06458081305027008,0.9323859214782715,0.003033239394426346
13,1,1,1,1,0.9101601243019104,0.012716143033748892,0.05270916596055031,0.9101601243019104,0.0371306836605072
14,1,2,2,1,0.7852354049682617,0.08502912849129368,0.046881113201379776,0.1678834855556488,0.7852354049682617
15,1,0,0,1,0.7712492346763611,0.11353838449188389,0.7712492346763611,0.00996005441993475,0.21879075467586517
16,1,1,0,0,0.8327924013137817,4.50311694924895,0.8327924013137817,0.04355147108435631,0.12365613132715225
17,1,2,2,1,0.7747916579246521,0.09762236799959595,0.18687692284584045,0.03833143785595894,0.7747916579246521
18,1,0,0,1,0.839876115322113,0.04820479614660516,0.839876115322113,0.024942975491285324,0.13518092036247253
19,1,1,1,1,0.9179486632347107,0.010525179017750266,0.04647434130311012,0.9179486632347107,0.03557698801159859
20,1,2,0,0,0.7094960808753967,3.7793315715887976,0.7094960808753967,0.2400677353143692,0.050436168909072876
21,1,0,1,0,0.8021721839904785,3.652386862222904,0.07901608943939209,0.8021721839904785,0.118811696767807
22,1,1,2,0,0.5984864830970764,1.3598100294432083,0.09061670303344727,0.3108968436717987,0.5984864830970764
23,1,2,2,1,0.968558669090271,0.0016125619333728616,0.023046577349305153,0.008394751697778702,0.968558669090271
24,1,0,2,0,0.8702957034111023,3.629020622656223,0.12153876572847366,0.008165494538843632,0.8702957034111023
25,1,1,2,0,0.6755802035331726,1.7366646879991317,0.058569472283124924,0.2658502757549286,0.6755802035331726
26,1,2,2,1,0.9809449911117554,0.0005506893317558253,0.010436424985527992,0.008618513122200966,0.9809449911117554
27,1,0,0,1,0.9908258318901062,0.00012907902920936636,0.9908258318901062,0.005666251294314861,0.003507972927764058
28,1,1,2,0,0.949141263961792,7.688027811138815,0.04337865114212036,0.007480073254555464,0.949141263961792
29,1,2,0,0,0.5906682014465332,1.1313163980121068,0.5906682014465332,0.03043430857360363,0.37889742851257324
30,1,0,0,1,0.5232460498809814,0.48796315499917187,0.5232460498809814,0.11154145747423172,0.36521247029304504
31,1,1,1,1,0.9418307542800903,0.006199338325800979,0.05091278627514839,0.9418307542800903,0.007256388198584318
32,1,2,2,1,0.7850428819656372,0.09443224495645414,0.19430115818977356,0.020655911415815353,0.7850428819656372
33,1,0,2,0,0.8675695657730103,4.169219037966051,0.07395273447036743,0.0584777295589447,0.8675695657730103
34,1,1,1,1,0.9783930778503418,0.0008435472977867058,0.019008763134479523,0.9783930778503418,0.00259815133176744
35,1,2,2,1,0.6943647861480713,0.18668740534288455,0.25019657611846924,0.05543862283229828,0.6943647861480713
36,1,0,0,1,0.5316423177719116,0.5270430126645029,0.5316423177719116,0.04839218407869339,0.4199654757976532
37,1,1,1,1,0.9892394542694092,0.00018432385259867568,0.007591205183416605,0.9892394542694092,0.003169358242303133
38,1,2,2,1,0.9683089852333069,0.0017681805599286371,0.026701118797063828,0.004989840090274811,0.9683089852333069
39,1,0,2,0,0.9271580576896667,5.139548640078177,0.05652746558189392,0.01631452515721321,0.9271580576896667
40,1,1,1,1,0.9668411612510681,0.0017416294075634283,0.022384626790881157,0.9668411612510681,0.010774213820695877
41,1,2,2,1,0.4163365960121155,0.714165009273263,0.2721734642982483,0.31148990988731384,0.4163365960121155
42,1,0,0,1,0.9932979941368103,7.146468961775173e-05,0.9932979941368103,0.004743979778140783,0.0019580498337745667
43,1,1,0,0,0.8667242527008057,3.9155529366714514,0.8667242527008057,0.09195014089345932,0.04132562503218651
44,1,2,2,1,0.9877031445503235,0.00022860870563721076,0.005594288464635611,0.006702498532831669,0.9877031445503235
45,1,0,0,1,0.6527446508407593,0.27730207262348566,0.6527446508407593,0.021133551374077797,0.32612180709838867
46,1,1,1,1,0.8718867301940918,0.031358232451208355,0.015046744607388973,0.8718867301940918,0.11306652426719666
47,1,2,2,1,0.9812984466552734,0.0005854638305814473,0.0146381426602602,0.004063413944095373,0.9812984466552734
48,1,0,0,1,0.9916695356369019,0.00010450799472629829,0.9916695356369019,0.004008260555565357,0.004322240594774485
49,1,1,1,1,0.9877772927284241,0.00022985095210353453,0.007622493896633387,0.9877772927284241,0.004600223619490862
50,1,2,2,1,0.9803780913352966,0.0006066156265767148,0.013271549716591835,0.006350347772240639,0.9803780913352966
51,1,0,0,1,0.97031569480896,0.001353517169260434,0.97031569480896,0.01212233118712902,0.01756208762526512
52,1,1,1,1,0.9804387092590332,0.0006015690950918117,0.013137279078364372,0.9804387092590332,0.006424019578844309
53,1,2,2,1,0.9589858651161194,0.0029564267512581935,0.034237056970596313,0.006777147296816111,0.9589858651161194
54,1,0,2,0,0.5077457427978516,0.7788245868459756,0.4607093930244446,0.03154481574892998,0.5077457427978516
55,1,1,1,1,0.8776355385780334,0.025851476445124,0.09247321635484695,0.8776355385780334,0.029891256242990494
56,1,2,2,1,0.9755203723907471,0.0009094257680406751,0.011459347791969776,0.013020321726799011,0.9755203723907471
57,1,0,0,1,0.9647922515869141,0.0018875025257167866,0.9647922515869141,0.017252909019589424,0.017954932525753975
58,1,1,0,0,0.6644716262817383,4.238980835109599,0.6644716262817383,0.02998397685587406,0.3055444061756134
59,1,2,2,1,0.8861814737319946,0.024923970116212016,0.10228631645441055,0.01153220422565937,0.8861814737319946
60,1,0,0,1,0.8478386402130127,0.04064717305940989,0.8478386402130127,0.036741744726896286,0.11541964113712311
61,1,1,0,0,0.7263554334640503,4.671152054813494,0.7263554334640503,0.0236041396856308,0.25004035234451294
62,1,2,2,1,0.7397711277008057,0.13242243929327102,0.21463680267333984,0.0455920584499836,0.7397711277008057
63,1,0,2,0,0.7747018337249756,2.423637558588972,0.20341062545776367,0.021887561306357384,0.7747018337249756
64,1,1,1,1,0.9791929721832275,0.000710184599659943,0.015610530972480774,0.9791929721832275,0.0051964931190013885
65,1,2,2,1,0.9798591136932373,0.0006309609789966848,0.012989934533834457,0.007151027675718069,0.9798591136932373
66,1,0,0,1,0.6968144178390503,0.1895274900265973,0.6968144178390503,0.043519724160432816,0.259665846824646
67,1,1,0,0,0.5704845786094666,4.091770357636268,0.5704845786094666,0.029877744615077972,0.3996376693248749
68,1,2,2,1,0.972969114780426,0.0012009708874164433,0.020244108512997627,0.006786688230931759,0.972969114780426
69,1,0,1,0,0.945628821849823,5.820214930457421,0.04087929055094719,0.945628821849823,0.013491899706423283
70,1,1,1,1,0.47551360726356506,0.6433129990129658,0.43209007382392883,0.47551360726356506,0.0923963412642479
71,1,2,2,1,0.6772009134292603,0.19161559517883775,0.21993470191955566,0.10286439955234528,0.6772009134292603
72,1,0,0,1,0.8167896866798401,0.0655955045478754,0.8167896866798401,0.02296847477555275,0.16024188697338104
73,1,1,1,1,0.9403643608093262,0.005573381002921978,0.022862592712044716,0.9403643608093262,0.03677304461598396
74,1,2,2,1,0.8818631768226624,0.027135171164456476,0.10723420232534409,0.010902618058025837,0.8818631768226624
75,1,0,1,0,0.8267306089401245,3.485957307821327,0.10365337133407593,0.8267306089401245,0.06961601972579956
76,1,1,1,1,0.8786288499832153,0.023734396161194105,0.046676311641931534,0.8786288499832153,0.07469485700130463
77,1,2,1,0,0.47842082381248474,0.8583631604093824,0.11455840617418289,0.47842082381248474,0.40702080726623535
78,1,0,0,1,0.8555871844291687,0.03346984472261989,0.8555871844291687,0.06479527801275253,0.07961753755807877
79,1,1,1,1,0.9845401644706726,0.00036439709172586944,0.009055505506694317,0.9845401644706726,0.00640438636764884
80,1,2,2,1,0.9711079001426697,0.0015083040662871834,0.025300035253167152,0.003592064371332526,0.9711079001426697
81,1,0,0,1,0.9512048363685608,0.004187509338357154,0.9512048363685608,0.008250335231423378,0.04054484888911247
82,1,1,1,1,0.9805222153663635,0.0005737540411132676,0.00968458503484726,0.9805222153663635,0.009793134406208992
83,1,2,2,1,0.9174046516418457,0.010907698117535702,0.029354244470596313,0.0532410703599453,0.9174046516418457
84,1,0,0,1,0.9731061458587646,0.0011892646216110103,0.9731061458587646,0.020160188898444176,0.0067336466163396835
85,1,1,0,0,0.6856135129928589,2.608121283441882,0.6856135129928589,0.1297597736120224,0.18462669849395752
86,1,2,2,1,0.5789616107940674,0.39048243669038907,0.06580805778503418,0.35523033142089844,0.5789616107940674
87,1,0,0,1,0.9756619930267334,0.0008984120982025246,0.9756619930267334,0.011558063328266144,0.012779934331774712
88,1,1,1,1,0.7646086812019348,0.09519217797007568,0.15009866654872894,0.7646086812019348,0.08529270440340042
89,1,2,2,1,0.6390976309776306,0.30319885975676086,0.33989500999450684,0.02100733108818531,0.6390976309776306
90,1,0,0,1,0.6883190870285034,0.2109854594550017,0.6883190870285034,0.029297225177288055,0.28238368034362793
91,1,1,1,1,0.9703758358955383,0.0013380935161690373,0.016401074826717377,0.9703758358955383,0.01322304829955101
92,1,2,2,1,0.7076339721679688,0.1875807698771985,0.27154621481895447,0.02081981860101223,0.7076339721679688
93,1,0,2,0,0.9219902157783508,4.941217761038893,0.06307831406593323,0.01493144128471613,0.9219902157783508
94,1,1,1,1,0.9894102811813354,0.00017064645813047552,0.006209236569702625,0.9894102811813354,0.004380564671009779
95,1,2,2,1,0.9666941165924072,0.0016998613847017082,0.01910928264260292,0.014196581207215786,0.9666941165924072
96,1,0,0,1,0.9081054925918579,0.01542290230305476,0.9081054925918579,0.01363445445895195,0.07826004922389984
97,1,1,1,1,0.42047494649887085,0.7330507810538214,0.3876012861728668,0.42047494649887085,0.19192375242710114
98,1,2,2,1,0.955426812171936,0.003461776223015282,0.03661438822746277,0.007958754897117615,0.955426812171936
99,1,0,0,1,0.5126099586486816,0.602444500056295,0.5126099586486816,0.032744135707616806,0.45464587211608887
100,1,1,1,1,0.8940963745117188,0.01949090334011081,0.08232934772968292,0.8940963745117188,0.02357429638504982
101,1,2,0,0,0.8905764818191528,4.087504991368828,0.8905764818191528,0.01329251378774643,0.09613099694252014
102,1,0,0,1,0.9719745516777039,0.001296821314716686,0.9719745516777039,0.006854080595076084,0.021171363070607185
103,1,1,1,1,0.9806851148605347,0.0006235013762598182,0.015065246261656284,0.9806851148605347,0.004249650053679943
104,1,2,0,0,0.7175841331481934,1.945433214631219,0.7175841331481934,0.03181968256831169,0.25059622526168823
105,1,0,1,0,0.7241759300231934,2.274220539342233,0.1918776035308838,0.7241759300231934,0.08394641429185867
106,1,1,0,0,0.9710164070129395,8.014735660342101,0.9710164070129395,0.009838612750172615,0.019144924357533455
107,1,2,1,0,0.914027214050293,5.0562524333117445,0.034419458359479904,0.914027214050293,0.05155332386493683
108,1,0,1,0,0.455655574798584,0.7819947950242935,0.4259317219257355,0.455655574798584,0.11841271817684174
109,1,1,1,1,0.8912116289138794,0.022765904098227853,0.09806081652641296,0.8912116289138794,0.010727543383836746
110,1,2,2,1,0.7901736497879028,0.08356223188957104,0.1727035939693451,0.03712279349565506,0.7901736497879028
111,1,0,1,0,0.719605565071106,1.99474792037871,0.24140462279319763,0.719605565071106,0.0389898382127285
112,1,1,1,1,0.8376376032829285,0.05223734220663692,0.14653684198856354,0.8376376032829285,0.015825536102056503
113,1,2,2,1,0.9942339062690735,4.999243800149065e-05,0.0028683277778327465,0.0028977678157389164,0.9942339062690735
114,1,0,0,1,0.6483684778213501,0.22586147539177975,0.6483684778213501,0.22108440101146698,0.1305471509695053
115,1,1,1,1,0.7766115069389343,0.08923562438176333,0.1629810780286789,0.7766115069389343,0.06040739640593529
116,1,2,2,1,0.6298000812530518,0.2701254506284169,0.2770010828971863,0.09319881349802017,0.6298000812530518
117,1,0,0,1,0.9570273756980896,0.0028419571800319043,0.9570273756980896,0.018293121829628944,0.02467953972518444
118,1,1,1,1,0.8412511944770813,0.04166152246857596,0.057438623160123825,0.8412511944770813,0.10131014883518219
119,1,2,2,1,0.9841272234916687,0.0004272644325561112,0.012746111489832401,0.0031265821307897568,0.9841272234916687
120,1,0,2,0,0.6437490582466125,1.6332851441252272,0.2687492072582245,0.08750178664922714,0.6437490582466125
121,1,1,1,1,0.6665476560592651,0.20051353658646182,0.12577573955059052,0.6665476560592651,0.20767663419246674
122,1,2,2,1,0.9359697103500366,0.007970698597392648,0.06004142388701439,0.003988845739513636,0.9359697103500366
123,1,0,2,0,0.8965402841567993,4.140351677897913,0.09702541679143906,0.006434318609535694,0.8965402841567993
124,1,1,1,1,0.45919519662857056,0.6244835413356824,0.1698322296142578,0.45919519662857056,0.37097254395484924
125,1,2,2,1,0.9725510478019714,0.0011433187215418325,0.013790518045425415,0.013658414594829082,0.9725510478019714
126,1,0,0,1,0.8597320914268494,0.03835769404274152,0.8597320914268494,0.014330663718283176,0.12593717873096466
127,1,1,1,1,0.9845848679542542,0.0003997186601404694,0.01220729574561119,0.9845848679542542,0.0032078269869089127
128,1,2,2,1,0.969525158405304,0.001632357562810373,0.02563481777906418,0.0048400103114545345,0.969525158405304
129,1,0,0,1,0.9673839211463928,0.0019302597465318473,0.9673839211463928,0.028652869164943695,0.003963122144341469
130,1,1,0,0,0.9764747023582458,7.504140145622191,0.9764747023582458,0.019832899793982506,0.0036923373118042946
131,1,2,2,1,0.989912211894989,0.00016151364984128558,0.003023870289325714,0.007063900586217642,0.989912211894989
132,1,0,0,1,0.9074050188064575,0.015794163463444547,0.9074050188064575,0.012824456207454205,0.07977060973644257
133,1,1,1,1,0.6359724402427673,0.29705702143842544,0.035293594002723694,0.6359724402427673,0.3287339508533478
134,1,2,2,1,0.9637664556503296,0.0022001773710246175,0.027991997078061104,0.008241545408964157,0.9637664556503296
135,1,0,0,1,0.7422776222229004,0.14086864678581523,0.7422776222229004,0.02162158489227295,0.23610077798366547
136,1,1,1,1,0.9062017202377319,0.013745047528323362,0.04757469519972801,0.9062017202377319,0.04622359946370125
137,1,2,0,0,0.5563219785690308,0.9568845943681166,0.5563219785690308,0.024142716079950333,0.4195352792739868
138,1,0,0,1,0.5687583088874817,0.348082638951904,0.5687583088874817,0.2160528153181076,0.2151888608932495
139,1,1,1,1,0.9889757633209229,0.0001831998730629542,0.005678159184753895,0.9889757633209229,0.00534613523632288
140,1,2,0,0,0.6397510170936584,1.3746140439394265,0.6397510170936584,0.023178137838840485,0.33707085251808167
141,1,0,2,0,0.7138416171073914,4.336461137816748,0.030942123383283615,0.25521621108055115,0.7138416171073914
142,1,1,1,1,0.9637361168861389,0.002132188351774461,0.026056921109557152,0.9637361168861389,0.010206897743046284
143,1,2,2,1,0.9237374067306519,0.010725646046823415,0.06653322279453278,0.009729336015880108,0.9237374067306519
144,1,0,0,1,0.8337225914001465,0.05301359005063644,0.8337225914001465,0.022697124630212784,0.14358030259609222
145,1,1,0,0,0.5476710796356201,2.0481936569515518,0.5476710796356201,0.1634475141763687,0.28888145089149475
146,1,2,2,1,0.601544201374054,0.3127623115830256,0.1114765927195549,0.28697916865348816,0.601544201374054
147,1,0,0,1,0.9093837141990662,0.01367120349492133,0.9093837141990662,0.025259610265493393,0.06535674631595612
148,1,1,1,1,0.9627484083175659,0.00218753100479954,0.024580849334597588,0.9627484083175659,0.012670787051320076
149,1,2,2,1,0.9577105641365051,0.0029994314858687453,0.03254293277859688,0.009746537543833256,0.9577105641365051
150,1,0,2,0,0.8010387420654297,2.9268168387483127,0.14761775732040405,0.051343582570552826,0.8010387420654297
151,1,1,1,1,0.9650176763534546,0.0018690514313765448,0.019210902974009514,0.9650176763534546,0.015771450474858284
152,1,2,2,1,0.9899908304214478,0.00015212551438874018,0.005782643798738718,0.0042265127412974834,0.9899908304214478
153,1,0,0,1,0.9535396695137024,0.0037454588547626696,0.9535396695137024,0.008606239221990108,0.03785406053066254
154,1,1,1,1,0.9786002039909363,0.0007135019610088397,0.013865649700164795,0.9786002039909363,0.007534130476415157
155,1,2,2,1,0.880993127822876,0.0273716992547016,0.1071854680776596,0.011821312829852104,0.880993127822876
156,1,0,2,0,0.7887454628944397,2.7051925980580167,0.16904222965240479,0.04221232235431671,0.7887454628944397
157,1,1,1,1,0.9818764925003052,0.0005057806438718385,0.011206629686057568,0.9818764925003052,0.00691682193428278
158,1,2,0,0,0.8489957451820374,4.065237609421952,0.8489957451820374,0.0797717422246933,0.07123246043920517
159,1,0,2,0,0.6561054587364197,1.4589846996479618,0.32511386275291443,0.018780622631311417,0.6561054587364197
160,1,1,1,1,0.917363166809082,0.010675600204567728,0.03596605733036995,0.917363166809082,0.046670764684677124
161,1,2,2,1,0.9715541005134583,0.0012470574350881382,0.011200417764484882,0.01724543236196041,0.9715541005134583
162,1,0,2,0,0.829650342464447,3.025178096363277,0.15758390724658966,0.012765815481543541,0.829650342464447
163,1,1,1,1,0.986625075340271,0.00027317852157500606,0.007972829043865204,0.986625075340271,0.005402125418186188
164,1,2,0,0,0.8958228826522827,4.2489709167541205,0.8958228826522827,0.01665264368057251,0.0875244289636612
165,1,0,2,0,0.6677089333534241,1.9270248757477582,0.22056901454925537,0.11172212660312653,0.6677089333534241
166,1,1,1,1,0.9882543087005615,0.00021716712993880664,0.008008734323084354,0.9882543087005615,0.0037369830533862114
167,1,2,2,1,0.7040655016899109,0.15240881815493235,0.16949062049388885,0.12644386291503906,0.7040655016899109
168,1,0,0,1,0.8527628779411316,0.03849373818550489,0.8527628779411316,0.032576706260442734,0.11466046422719955
169,1,1,1,1,0.8291154503822327,0.04778467961925176,0.07067623734474182,0.8291154503822327,0.10020828247070312
170,1,2,2,1,0.9882232546806335,0.00021046623477989678,0.005055332090705633,0.006721432786434889,0.9882232546806335
171,1,0,2,0,0.8499411344528198,4.574465501500002,0.045443832874298096,0.10461503267288208,0.8499411344528198
172,1,1,1,1,0.7977790236473083,0.08056725750325958,0.02590179443359375,0.7977790236473083,0.1763191670179367
173,1,2,1,0,0.6137599349021912,1.7802556580127669,0.1634904444217682,0.6137599349021912,0.22274962067604065
174,1,0,0,1,0.6812378764152527,0.21888274425307713,0.6812378764152527,0.034125734120607376,0.28463634848594666
175,1,1,1,1,0.9173517227172852,0.010634727177237728,0.03848441317677498,0.9173517227172852,0.04416385665535927
176,1,2,2,1,0.7914100885391235,0.0814794115979889,0.16833393275737762,0.04025600478053093,0.7914100885391235
177,1,0,0,1,0.9082052707672119,0.01571806794113062,0.9082052707672119,0.011326104402542114,0.08046868443489075
178,1,1,1,1,0.9655075669288635,0.0020111932697052435,0.027126353234052658,0.9655075669288635,0.0073660206981003284
179,1,2,2,1,0.9766420125961304,0.0010333622883154296,0.021760310977697372,0.0015977047150954604,0.9766420125961304
180,1,0,0,1,0.7931928038597107,0.0871386160187442,0.7931928038597107,0.01952071115374565,0.18728651106357574
181,1,1,1,1,0.8388513326644897,0.04756191781237052,0.030464911833405495,0.8388513326644897,0.1306837797164917
182,1,2,2,1,0.6820502281188965,0.23390000130312344,0.30640289187431335,0.011546824127435684,0.6820502281188965
183,1,0,0,1,0.5765746235847473,0.45359659264734586,0.5765746235847473,0.01017027162015438,0.41325512528419495
184,1,1,1,1,0.9914951324462891,0.00010894224426909197,0.004084452521055937,0.9914951324462891,0.004420395474880934
185,1,2,2,1,0.9905474781990051,0.00013731714660750497,0.005897039081901312,0.0035554843489080667,0.9905474781990051
186,1,0,1,0,0.5895878076553345,1.568961793127421,0.25508785247802734,0.5895878076553345,0.15532435476779938
187,1,1,1,1,0.9717968702316284,0.0012312053129213223,0.010687227360904217,0.9717968702316284,0.017515888437628746
188,1,2,2,1,0.5403733849525452,0.4221610700639073,0.14966395497322083,0.3099627196788788,0.5403733849525452
189,1,0,0,1,0.7259559035301208,0.1638201719499786,0.7259559035301208,0.018008066341280937,0.25603604316711426
190,1,1,1,1,0.9667864441871643,0.0017917476959823327,0.024051427841186523,0.9667864441871643,0.009162073954939842
191,1,2,2,1,0.9332518577575684,0.008308388594471316,0.05945216864347458,0.007296048570424318,0.9332518577575684
192,1,0,0,1,0.9411221146583557,0.005509618121830415,0.9411221146583557,0.038648683577775955,0.020229199901223183
193,1,1,1,1,0.5224820375442505,0.4444103209625039,0.20180881023406982,0.5224820375442505,0.2757091820240021
194,1,2,1,0,0.7404202222824097,2.7251393175391563,0.12200150638818741,0.7404202222824097,0.13757824897766113
195,1,0,1,0,0.6319776177406311,1.6940088485340556,0.24834194779396057,0.6319776177406311,0.11968038976192474
196,1,1,1,1,0.9676534533500671,0.0018899685010360767,0.028250107541680336,0.9676534533500671,0.004096411168575287
197,1,2,2,1,0.9026081562042236,0.016741691390618204,0.01901356130838394,0.07837828248739243,0.9026081562042236
198,1,0,2,0,0.8774625062942505,3.9042090907506832,0.10094920545816422,0.021588312461972237,0.8774625062942505
199,1,1,1,1,0.9839828014373779,0.0004141464357917574,0.01164220366626978,0.9839828014373779,0.004375029355287552
200,1,2,2,1,0.955312967300415,0.003397959186743018,0.03526054322719574,0.009426437318325043,0.955312967300415
201,1,0,2,0,0.5003184676170349,0.7840683521311913,0.4522501230239868,0.04743140935897827,0.5003184676170349
202,1,1,2,0,0.4219917356967926,1.038867799537813,0.24641866981983185,0.3315896689891815,0.4219917356967926
203,1,2,2,1,0.9866907596588135,0.0002722241083632598,0.005076002795249224,0.00823327898979187,0.9866907596588135
204,1,0,0,1,0.9771956205368042,0.0007877848570038676,0.9771956205368042,0.01172393187880516,0.011080428957939148
205,1,1,1,1,0.9418097138404846,0.005247404736457688,0.033502280712127686,0.9418097138404846,0.024687936529517174
206,1,2,2,1,0.9886771440505981,0.00019661521640354051,0.004364929627627134,0.006957963574677706,0.9886771440505981
207,1,0,0,1,0.8919811248779297,0.023128787460596885,0.8919811248779297,0.007126534357666969,0.1008923202753067
208,1,1,1,1,0.9879530072212219,0.0002290331098890629,0.00827567745000124,0.9879530072212219,0.0037713537458330393
