idx,member_label,gold_label,pred_label,correct,max_softmax,mentr,p_entailment,p_contradiction,p_neutral
0,1,0,0,1,0.9986773133277893,2.705150583864646e-06,0.9986773133277893,0.0004620678082574159,0.0008605914190411568
1,1,1,1,1,0.999258816242218,8.361042529018813e-07,0.00044749726657755673,0.999258816242218,0.00029365954105742276
2,1,2,2,1,0.9993765950202942,7.212873093700016e-07,4.8951496864901856e-05,0.0005744921509176493,0.9993765950202942
3,1,0,0,1,0.9994575381278992,4.764747274416846e-07,0.9994575381278992,0.0004034841258544475,0.00013891133130528033
4,1,1,1,1,0.9996973276138306,1.6063768423974543e-07,4.368845111457631e-05,0.9996973276138306,0.0002590286312624812
5,1,2,2,1,0.996756374835968,1.993393078930662e-05,0.003057227935642004,0.00018645243835635483,0.996756374835968
6,1,0,0,1,0.998471200466156,3.538593829552498e-06,0.998471200466156,0.0008879125234670937,0.0006408642511814833
7,1,1,1,1,0.9967337846755981,2.082272762992551e-05,8.608883945271373e-05,0.9967337846755981,0.0031801851000636816
8,1,2,2,1,0.9996559619903564,2.166767085340067e-07,3.220160579076037e-05,0.0003118366003036499,0.9996559619903564
9,1,0,0,1,0.9991944432258606,9.736956885877654e-07,0.9991944432258606,0.00040696910582482815,0.0003985263465438038
10,1,1,1,1,0.9385574460029602,0.0076027615499963085,0.0015077043790370226,0.9385574460029602,0.05993485450744629
11,1,2,2,1,0.9986831545829773,3.285877143736445e-06,7.416983135044575e-05,0.0012426547473296523,0.9986831545829773
12,1,0,0,1,0.9991461038589478,1.1043751777835269e-06,0.9991461038589478,0.0004985601990483701,0.00035535675124265254
13,1,1,1,1,0.9983223080635071,5.5543639529777134e-06,2.4004057195270434e-05,0.9983223080635071,0.0016536355251446366
14,1,2,2,1,0.9967898726463318,1.8679541667133546e-05,0.002868734998628497,0.0003414117672946304,0.9967898726463318
15,1,0,0,1,0.9994193315505981,5.350282513008057e-07,0.9994193315505981,0.00041101424722000957,0.00016966016846708953
16,1,1,1,1,0.9996907711029053,1.4354433897134185e-07,0.00016077901818789542,0.9996907711029053,0.0001485039829276502
17,1,2,2,1,0.9992176294326782,9.981960819297098e-07,0.00019159057410433888,0.0005907954182475805,0.9992176294326782
18,1,0,0,1,0.9991484880447388,1.1275523157374402e-06,0.9991484880447388,0.0005663579795509577,0.0002851438184734434
19,1,1,1,1,0.9950146079063416,4.694611970911695e-05,0.004678031895309687,0.9950146079063416,0.0003073770785704255
20,1,2,2,1,0.9961894154548645,2.181597471498518e-05,0.0019195176428183913,0.0018910868093371391,0.9961894154548645
21,1,0,0,1,0.9987775683403015,2.3335265471622267e-06,0.9987775683403015,0.0003980190958827734,0.0008243435877375305
22,1,1,1,1,0.9990432858467102,1.4345799350042192e-06,0.0006531126564368606,0.9990432858467102,0.00030352987232618034
23,1,2,2,1,0.9998095631599426,5.4445981812325554e-08,9.093424887396395e-05,9.953104745363817e-05,0.9998095631599426
24,1,0,0,1,0.9994851350784302,3.9860182591604e-07,0.9994851350784302,0.0002359196514589712,0.0002788766287267208
25,1,1,1,1,0.9976795315742493,1.0259618486133439e-05,0.0001183120475616306,0.9976795315742493,0.0022021448239684105
26,1,2,2,1,0.9995529055595398,3.019639350353479e-07,0.00019108125707134604,0.0002559333515819162,0.9995529055595398
27,1,0,0,1,0.9995984435081482,2.4272934582647467e-07,0.9995984435081482,0.00022072908177506179,0.00018088582146447152
28,1,1,1,1,0.9987873435020447,2.221538890494357e-06,0.0006916295387782156,0.9987873435020447,0.0005210787639953196
29,1,2,2,1,0.9827971458435059,0.0004516116324286226,0.010089999996125698,0.007112833205610514,0.9827971458435059
30,1,0,0,1,0.9991843104362488,1.0663866975550492e-06,0.9991843104362488,0.0005922011914663017,0.00022350387007463723
31,1,1,1,1,0.9996030926704407,2.5528278225838886e-07,0.0002957497490569949,0.9996030926704407,0.00010116677003679797
32,1,2,2,1,0.9997976422309875,6.613486066644473e-08,5.2696130296681076e-05,0.00014967772585805506,0.9997976422309875
33,1,0,0,1,0.9949275255203247,3.984379782213455e-05,0.9949275255203247,0.0017738317837938666,0.003298645606264472
34,1,1,1,1,0.8865851759910583,0.0265793697929388,0.11041126400232315,0.8865851759910583,0.0030035509262233973
35,1,2,2,1,0.9985062479972839,3.7988134850403912e-06,0.00027284325915388763,0.0012208545813336968,0.9985062479972839
36,1,0,0,1,0.999116837978363,1.1704577521790625e-06,0.999116837978363,0.00043436503619886935,0.0004487524856813252
37,1,1,1,1,0.9972726702690125,1.4577963388210974e-05,5.972202052362263e-05,0.9972726702690125,0.0026676577981561422
38,1,2,2,1,0.9997909665107727,6.980782721185721e-08,5.83926921535749e-05,0.00015065439220052212,0.9997909665107727
39,1,0,0,1,0.9766794443130493,0.0010868151921671753,0.9766794443130493,0.00029360561165958643,0.023026911541819572
40,1,1,1,1,0.990911602973938,0.00016482586074026515,6.200646748766303e-05,0.990911602973938,0.009026376530528069
41,1,2,2,1,0.9995700716972351,3.236911946138675e-07,6.266929267439991e-05,0.0003672339371405542,0.9995700716972351
42,1,0,0,1,0.9995915293693542,2.58873427892305e-07,0.9995915293693542,0.0002696429437492043,0.0001388258533552289
43,1,1,1,1,0.9994920492172241,3.8889380786530205e-07,0.0002239200985059142,0.9994920492172241,0.00028400172595866024
44,1,2,2,1,0.9951812624931335,3.7049016379838855e-05,0.0013747396878898144,0.003443977329879999,0.9951812624931335
45,1,0,0,1,0.9971345663070679,1.3857901395161843e-05,0.9971345663070679,0.0005597022245638072,0.002305626403540373
46,1,1,1,1,0.9975175857543945,1.193104356748437e-05,8.516253001289442e-05,0.9975175857543945,0.0023972587659955025
47,1,2,2,1,0.9997692704200745,8.478643298879725e-08,6.561268673976883e-05,0.00016503556980751455,0.9997692704200745
48,1,0,0,1,0.9993448853492737,6.652402478201149e-07,0.9993448853492737,0.0004307523195166141,0.00022434622223954648
49,1,1,1,1,0.9991804957389832,1.2427566038070208e-06,6.701203528791666e-05,0.9991804957389832,0.0007524560787715018
50,1,2,2,1,0.9996238946914673,2.2214046867836085e-07,0.00011764054943341762,0.0002584761241450906,0.9996238946914673
51,1,0,0,1,0.9992755055427551,7.971648528526378e-07,0.9992755055427551,0.00029314032872207463,0.00043139123590663075
52,1,1,1,1,0.9993414282798767,7.097958492646928e-07,0.0005010580644011497,0.9993414282798767,0.00015751892351545393
53,1,2,2,1,0.9994255304336548,5.764214313180888e-07,8.580236317357048e-05,0.0004887643153779209,0.9994255304336548
54,1,0,0,1,0.9985213875770569,3.2819146430111048e-06,0.9985213875770569,0.0007533716270700097,0.0007252781069837511
55,1,1,1,1,0.9836044907569885,0.0004196555855979812,0.010794511064887047,0.9836044907569885,0.005601045675575733
56,1,2,2,1,0.9988659620285034,2.227016178053871e-06,0.0001818273012759164,0.0009522332111373544,0.9988659620285034
57,1,0,0,1,0.9992613196372986,9.563003571601201e-07,0.9992613196372986,0.000631545321084559,0.00010711657523643225
58,1,1,1,1,0.9617118835449219,0.0026133320741064704,0.0327012799680233,0.9617118835449219,0.0055868555791676044
59,1,2,2,1,0.9990347623825073,1.7840227395693457e-06,4.3441032175906e-05,0.0009217430488206446,0.9990347623825073
60,1,0,0,1,0.9995880722999573,2.5794980129653514e-07,0.9995880722999573,0.00016474007861688733,0.0002471463812980801
61,1,1,1,1,0.9996762275695801,1.574671450438121e-07,0.00015209463890641928,0.9996762275695801,0.00017171056242659688
62,1,2,2,1,0.9996895790100098,1.4465784663821386e-07,0.00016180757666006684,0.00014864804688841105,0.9996895790100098
63,1,0,0,1,0.9995101690292358,3.9048093435630937e-07,0.9995101690292358,0.0003683850518427789,0.00012146747030783445
64,1,1,1,1,0.9997585415840149,9.843649528045571e-08,4.658553370973095e-05,0.9997585415840149,0.00019481613708194345
65,1,2,2,1,0.9998120665550232,5.3362185364208703e-08,8.029302262002602e-05,0.0001076663174899295,0.9998120665550232
66,1,0,0,1,0.9995031356811523,3.7842441872247766e-07,0.9995031356811523,0.0003118144813925028,0.00018504673789720982
67,1,1,0,0,0.9970801472663879,11.763557321733371,0.9970801472663879,0.0025805425830185413,0.0003391962090972811
68,1,2,2,1,0.9995310306549072,3.323621171017781e-07,0.00019976124167442322,0.00026918394723907113,0.9995310306549072
69,1,0,0,1,0.9995244741439819,3.5112717150083507e-07,0.9995244741439819,0.000314880016958341,0.0001605659635970369
70,1,1,1,1,0.9996138215065002,2.405490770076192e-07,0.0002847221330739558,0.9996138215065002,0.00010152681352337822
71,1,2,2,1,0.9918986558914185,0.0001279561830555118,0.007858380675315857,0.0002429705491522327,0.9918986558914185
72,1,0,0,1,0.9990735054016113,1.335043422938838e-06,0.9990735054016113,0.0006164255901239812,0.00031006557401269674
73,1,1,1,1,0.9958093166351318,2.7461994526186312e-05,0.0028267137240618467,0.9958093166351318,0.0013639548560604453
74,1,2,2,1,0.9992341995239258,8.929041533314303e-07,0.0004631900228559971,0.0003026888007298112,0.9992341995239258
75,1,0,0,1,0.9981049299240112,6.169208108078801e-06,0.9981049299240112,0.0003242488019168377,0.001570801017805934
76,1,1,1,1,0.9980053305625916,7.28486570319978e-06,0.00018807241576723754,0.9980053305625916,0.0018066155025735497
77,1,2,2,1,0.9984219074249268,3.751750228111659e-06,0.0008718050085008144,0.0007062967633828521,0.9984219074249268
78,1,0,0,1,0.9970957040786743,1.2676465671560559e-05,0.9970957040786743,0.0013863324420526624,0.001517977798357606
79,1,1,1,1,0.9987192153930664,3.1494564278513627e-06,5.442041583592072e-05,0.9987192153930664,0.0012264220276847482
80,1,2,2,1,0.9994369149208069,4.767628563175327e-07,0.000304512184811756,0.00025856978027150035,0.9994369149208069
81,1,0,0,1,0.998023271560669,5.87120703559124e-06,0.998023271560669,0.0010391301475465298,0.000937613716814667
82,1,1,1,1,0.9992274045944214,1.0614622737125489e-06,9.848029731074348e-05,0.9992274045944214,0.0006741482065990567
83,1,2,2,1,0.9997962117195129,6.43042305385718e-08,7.029984408291057e-05,0.00013351741654332727,0.9997962117195129
84,1,0,0,1,0.9988355040550232,2.0350573353903743e-06,0.9988355040550232,0.0005865277489647269,0.0005779308266937733
85,1,1,1,1,0.9997560381889343,9.153197153053827e-08,8.841075759846717e-05,0.9997560381889343,0.00015552704280707985
86,1,2,2,1,0.999257504940033,9.262449322768826e-07,0.00014872699102852494,0.0005937298992648721,0.999257504940033
87,1,0,0,1,0.9995512366294861,3.1148822357900097e-07,0.9995512366294861,0.00029284789343364537,0.00015582074411213398
88,1,1,1,1,0.9992305040359497,9.358218306067618e-07,0.00023085926659405231,0.9992305040359497,0.0005385996191762388
89,1,2,2,1,0.9997568726539612,1.0236205290349361e-07,3.888149876729585e-05,0.00020427406707312912,0.9997568726539612
90,1,0,0,1,0.9996228218078613,2.2045946405503974e-07,0.9996228218078613,0.0002477962407283485,0.0001294510147999972
91,1,1,1,1,0.9997939467430115,6.754682643164555e-08,5.917179805692285e-05,0.9997939467430115,0.00014690648822579533
92,1,2,2,1,0.9997188448905945,1.375736954510484e-07,4.315413025324233e-05,0.00023800278722774237,0.9997188448905945
93,1,0,0,1,0.9928691983222961,9.842633970242931e-05,0.9928691983222961,0.00026321501354686916,0.006867595016956329
94,1,1,1,1,0.9977152347564697,1.0344244659374584e-05,2.390217559877783e-05,0.9977152347564697,0.0022609203588217497
95,1,2,2,1,0.9965655207633972,2.2003529240026335e-05,0.00025550712598487735,0.003179023275151849,0.9965655207633972
96,1,0,0,1,0.9995174407958984,3.8100110462980083e-07,0.9995174407958984,0.00036706140963360667,0.0001154206765932031
