idx,member_label,gold_label,pred_label,correct,max_softmax,mentr,p_entailment,p_contradiction,p_neutral
0,1,0,0,1,0.7433159947395325,0.1470859427572704,0.7433159947395325,0.008375917561352253,0.24830812215805054
1,1,1,1,1,0.9756889939308167,0.0011638251187199935,0.0006820714916102588,0.9756889939308167,0.023629002273082733
2,1,2,2,1,0.9990111589431763,1.7352315317597028e-06,0.00012847891775891185,0.0008602992165833712,0.9990111589431763
3,1,0,0,1,0.9985841512680054,3.2560904299570853e-06,0.9985841512680054,0.00035638545523397624,0.001059440546669066
4,1,1,1,1,0.999660849571228,1.9000116178563252e-07,7.621193799423054e-05,0.999660849571228,0.00026294687995687127
5,1,2,0,0,0.5929411053657532,1.0719665401600444,0.5929411053657532,0.0025744151789695024,0.40448451042175293
6,1,0,0,1,0.688055157661438,0.22326182091956323,0.688055157661438,0.012624567374587059,0.2993202805519104
7,1,1,1,1,0.9966146349906921,1.972123749653266e-05,0.0005746963433921337,0.9966146349906921,0.0028106234967708588
8,1,2,2,1,0.9997267127037048,1.2714702282515498e-07,4.9699912779033184e-05,0.0002235512074548751,0.9997267127037048
9,1,0,0,1,0.9963768124580383,2.396544452386355e-05,0.9963768124580383,0.0003567532985471189,0.003266398562118411
10,1,1,2,0,0.846421480178833,3.2026651586105017,0.004144377075135708,0.14943408966064453,0.846421480178833
11,1,2,2,1,0.9975159168243408,1.1851836080793054e-05,0.0001059048663591966,0.0023781375493854284,0.9975159168243408
12,1,0,0,1,0.9840711355209351,0.00039241668088375116,0.9840711355209351,0.010104814544320107,0.005824053660035133
13,1,1,1,1,0.999140739440918,1.4215190689420764e-06,3.368006582604721e-05,0.999140739440918,0.0008255041902884841
14,1,2,0,0,0.998439371585846,13.557110822276188,0.998439371585846,0.0007439805194735527,0.0008166205370798707
15,1,0,0,1,0.9992508292198181,8.452294134645811e-07,0.9992508292198181,0.0003350259503349662,0.00041408391552977264
16,1,1,0,0,0.9979261159896851,13.06207332787058,0.9979261159896851,0.0010042781941592693,0.00106955342926085
