idx,member_label,gold_label,pred_label,correct,max_softmax,mentr,p_entailment,p_contradiction,p_neutral
0,1,0,0,1,0.9887492656707764,0.00020528208319791198,0.9887492656707764,0.0029426137916743755,0.008308161050081253
1,1,1,1,1,0.9992152452468872,1.0590033557755562e-06,0.00013266339374240488,0.9992152452468872,0.0006520599126815796
2,1,2,2,1,0.998831570148468,2.233526230808114e-06,0.00028053182177245617,0.0008879416272975504,0.998831570148468
3,1,0,0,1,0.9984378218650818,4.023315949781905e-06,0.9984378218650818,0.0012052649399265647,0.00035699448199011385
4,1,1,1,1,0.9992668032646179,1.026670620596694e-06,3.498498699627817e-05,0.9992668032646179,0.0006982132908888161
5,1,2,2,1,0.9982469081878662,4.6548728186919975e-06,0.0007324335165321827,0.0010206162696704268,0.9982469081878662
6,1,0,0,1,0.9636264443397522,0.0020652781281105884,0.9636264443397522,0.013256613165140152,0.02311696857213974
7,1,1,1,1,0.9995885491371155,3.16514015317657e-07,2.8931013730471022e-05,0.9995885491371155,0.00038252107333391905
8,1,2,2,1,0.9985998272895813,3.6455038126215434e-06,0.00010749425564426929,0.0012926753843203187,0.9985998272895813
9,1,0,0,1,0.9732769727706909,0.0011016820641253475,0.9732769727706909,0.01636265404522419,0.0103602958843112
10,1,1,1,1,0.9983333945274353,5.349250272292513e-06,6.56410920782946e-05,0.9983333945274353,0.0016009361715987325
11,1,2,2,1,0.997668445110321,9.869565853944252e-06,0.0002425609709462151,0.0020889383740723133,0.997668445110321
12,1,0,0,1,0.9978204965591431,7.875721075811577e-06,0.9978204965591431,0.0016991482116281986,0.0004802978364750743
13,1,1,1,1,0.9948214292526245,5.3409566117579765e-05,3.5312001273268834e-05,0.9948214292526245,0.005143227055668831
14,1,2,2,1,0.9306995272636414,0.00960347270809877,0.06681376695632935,0.0024866615422070026,0.9306995272636414
15,1,0,0,1,0.9979462027549744,6.383999347256479e-06,0.9979462027549744,0.0011873444309458137,0.0008663883781991899
16,1,1,1,1,0.9997262358665466,1.1255272126386168e-07,0.00012861441064160317,0.9997262358665466,0.00014509103493764997
17,1,2,2,1,0.9988407492637634,2.197391356647788e-06,0.00027927098562940955,0.0008800030336715281,0.9988407492637634
18,1,0,0,1,0.996722400188446,1.8307513902455125e-05,0.996722400188446,0.0005981680005788803,0.0026794890873134136
19,1,1,1,1,0.9988316893577576,2.5947828434337493e-06,6.175904854899272e-05,0.9988316893577576,0.0011065906146541238
20,1,2,2,1,0.9846330881118774,0.00047243739161488996,0.00011390852887416258,0.01525308657437563,0.9846330881118774
21,1,0,0,1,0.9210450053215027,0.010818831998847488,0.9210450053215027,0.06268715113401413,0.016267823055386543
22,1,1,1,1,0.9979956150054932,7.620840119630832e-06,0.00011145458847749978,0.9979956150054932,0.0018929949728772044
23,1,2,2,1,0.9996048808097839,2.3428931023934197e-07,0.00020317394228186458,0.00019196848734281957,0.9996048808097839
24,1,0,0,1,0.9967584013938904,1.7986341759620082e-05,0.9967584013938904,0.0005724761285819113,0.0026690755039453506
25,1,1,1,1,0.9989049434661865,2.3418202304504196e-06,2.7048155970987864e-05,0.9989049434661865,0.001068023033440113
26,1,2,2,1,0.9989105463027954,1.9031107417415898e-06,0.0002979154232889414,0.0007915424066595733,0.9989105463027954
27,1,0,0,1,0.9987710118293762,2.268010497174164e-06,0.9987710118293762,0.0005883523263037205,0.0006405293243005872
28,1,1,1,1,0.999136745929718,1.4226858545746632e-06,4.156751310802065e-05,0.999136745929718,0.0008216756978072226
29,1,2,2,1,0.9755364656448364,0.0009070396684787688,0.012395584024488926,0.012067999690771103,0.9755364656448364
30,1,0,0,1,0.9966654181480408,1.6771843111883313e-05,0.9966654181480408,0.0014816340990364552,0.0018530443776398897
31,1,1,1,1,0.9996527433395386,2.0221469905596115e-07,7.049457053653896e-05,0.9996527433395386,0.0002768145641312003
32,1,2,2,1,0.9994016885757446,5.757659945667454e-07,0.0001602993143023923,0.00043811218347400427,0.9994016885757446
33,1,0,0,1,0.9685198664665222,0.0019093393900529553,0.9685198664665222,0.0017141393618658185,0.02976595237851143
34,1,1,1,1,0.9996153116226196,2.5743143808963983e-07,5.925891673541628e-05,0.9996153116226196,0.0003254057082813233
35,1,2,2,1,0.996066153049469,2.7240498172065682e-05,0.0005566795007325709,0.003377209883183241,0.996066153049469
36,1,0,0,1,0.9989486336708069,1.6604575647429902e-06,0.9989486336708069,0.0005539693520404398,0.000497469853144139
37,1,1,1,1,0.9994149208068848,6.442002692416819e-07,3.703195761772804e-05,0.9994149208068848,0.0005480225663632154
38,1,2,2,1,0.9993581175804138,6.248730572753869e-07,0.00026345954393036664,0.000378524127881974,0.9993581175804138
39,1,0,0,1,0.9988555908203125,1.9899058362455525e-06,0.9988555908203125,0.0004617766826413572,0.000682669342495501
40,1,1,1,1,0.9986565113067627,3.4804801173847594e-06,5.0988041039090604e-05,0.9986565113067627,0.0012925262562930584
41,1,2,2,1,0.9986497759819031,2.927626291225114e-06,0.00036581134190782905,0.0009843626758083701,0.9986497759819031
42,1,0,0,1,0.9991695880889893,1.0382187332093668e-06,0.9991695880889893,0.00037381250876933336,0.0004566604911815375
43,1,1,1,1,0.9996057152748108,2.606755871535329e-07,8.001993410289288e-05,0.9996057152748108,0.0003142698260489851
44,1,2,2,1,0.9989033937454224,1.8671791227690356e-06,0.0003715792263392359,0.0007250424241647124,0.9989033937454224
45,1,0,0,1,0.990045964717865,0.00017847502377302008,0.990045964717865,0.0011683343909680843,0.00878572091460228
46,1,1,1,1,0.9995575547218323,3.6530812615213406e-07,3.196319448761642e-05,0.9995575547218323,0.0004104275139980018
47,1,2,2,1,0.9993904829025269,5.597547242447878e-07,0.00027055173995904624,0.00033897304092533886,0.9993904829025269
