idx,member_label,gold_label,pred_label,correct,max_softmax,mentr,p_entailment,p_contradiction,p_neutral
0,1,0,1,0,0.8193758130073547,5.9081801441318165,0.010851508937776089,0.8193758130073547,0.1697726547718048
1,1,1,1,1,0.9597891569137573,0.00327152461757743,0.00035420991480350494,0.9597891569137573,0.0398566871881485
2,1,2,2,1,0.9990397095680237,1.4108641218868152e-06,0.00036380960955284536,0.0005964693264104426,0.9990397095680237
3,1,0,2,0,0.8801393508911133,3.7797568044658307,0.11515367031097412,0.004706932697445154,0.8801393508911133
4,1,1,1,1,0.999535322189331,3.8631202877293654e-07,5.574818715103902e-05,0.999535322189331,0.0004088939167559147
5,1,2,2,1,0.9441995620727539,0.006320085984892202,0.0007637585513293743,0.05503656715154648,0.9441995620727539
6,1,0,0,1,0.5616115927696228,0.4460730823199554,0.5616115927696228,0.050363846123218536,0.38802456855773926
7,1,1,1,1,0.999534010887146,4.0200541632578833e-07,3.78869372070767e-05,0.999534010887146,0.00042817549547180533
8,1,2,2,1,0.9991994500160217,1.0579645755381626e-06,0.00018089469813276082,0.0006196633912622929,0.9991994500160217
9,1,0,0,1,0.8881616592407227,0.023975173568684012,0.8881616592407227,0.011662513017654419,0.1001758947968483
10,1,1,1,1,0.9889248013496399,0.00024384989378901852,0.00012857555702794343,0.9889248013496399,0.010946613736450672
11,1,2,2,1,0.9984768033027649,3.6570790437482363e-06,0.000466061697807163,0.0010570368031039834,0.9984768033027649
12,1,0,1,0,0.933788001537323,5.310997007573256,0.05329318717122078,0.933788001537323,0.012918825261294842
13,1,1,1,1,0.9985572695732117,4.050595120972754e-06,4.111501402803697e-05,0.9985572695732117,0.0014016249915584922
14,1,2,0,0,0.8785321712493896,3.9247590749843617,0.8785321712493896,0.02146153151988983,0.10000636428594589
15,1,0,0,1,0.9780977964401245,0.0008986896823954709,0.9780977964401245,0.0017412349116057158,0.02016095444560051
16,1,1,0,0,0.9961626529693604,11.657456627767413,0.9961626529693604,0.002178369788452983,0.0016589375445619226
17,1,2,2,1,0.9982391595840454,4.779214476383798e-06,0.0006305939750745893,0.001130232703872025,0.9982391595840454
18,1,0,0,1,0.8444955348968506,0.052131474926931945,0.8444955348968506,0.001238752854987979,0.15426570177078247
19,1,1,1,1,0.9978538155555725,8.963007481863836e-06,6.202518852660432e-05,0.9978538155555725,0.0020841234363615513
20,1,2,2,1,0.9676159620285034,0.002115911500350143,0.0002467519079800695,0.03213732689619064,0.9676159620285034
21,1,0,2,0,0.9742934107780457,8.27276463360251,0.008679630234837532,0.017026999965310097,0.9742934107780457
22,1,1,1,1,0.9201397895812988,0.01287271876341044,0.0025568020064383745,0.9201397895812988,0.07730342447757721
23,1,2,2,1,0.9964696168899536,2.1258199217839483e-05,0.00288955750875175,0.000640921643935144,0.9964696168899536
24,1,0,0,1,0.9146447777748108,0.01502691448694977,0.9146447777748108,0.0011314995354041457,0.08422378450632095
25,1,1,1,1,0.9962791800498962,2.700915097212831e-05,0.00010078729246743023,0.9962791800498962,0.0036200680769979954
26,1,2,2,1,0.9958361387252808,2.6053005416800952e-05,0.0021100707817822695,0.002053686650469899,0.9958361387252808
27,1,0,2,0,0.5944976806640625,1.0791762944079029,0.4030022621154785,0.0025000479072332382,0.5944976806640625
28,1,1,2,0,0.981243908405304,7.832262847651945,0.0005074627697467804,0.01824861764907837,0.981243908405304
29,1,2,2,1,0.95550936460495,0.003379017405222561,0.03531373292207718,0.009176953695714474,0.95550936460495
30,1,0,0,1,0.9414724707603455,0.005352003285543616,0.9414724707603455,0.02292996272444725,0.03559759259223938
31,1,1,1,1,0.9996325969696045,2.0287765234623963e-07,0.00019735406385734677,0.9996325969696045,0.0001700380234979093
32,1,2,2,1,0.9992443323135376,8.975156763545107e-07,0.00023527083976659924,0.0005204197950661182,0.9992443323135376
33,1,0,0,1,0.9021114706993103,0.01879126586502275,0.9021114706993103,0.007014663890004158,0.09087388217449188
34,1,1,1,1,0.9996097683906555,2.713739605855954e-07,4.8652545956429094e-05,0.9996097683906555,0.00034157937625423074
35,1,2,2,1,0.9968557357788086,1.6882220577120573e-05,0.0005650788079947233,0.0025791956577450037,0.9968557357788086
