threshold,accuracy
0.000000,0.500000
0.015048,0.535865
0.030095,0.531294
0.045143,0.529536
0.060191,0.528481
0.075238,0.527426
0.090286,0.527426
0.105334,0.527426
0.120381,0.527426
0.135429,0.527426
0.150477,0.527075
0.165524,0.526723
0.180572,0.526723
0.195620,0.526371
0.210667,0.525668
0.225715,0.525668
0.240763,0.524965
0.255810,0.523558
0.270858,0.523558
0.285906,0.523207
0.300953,0.522855
0.316001,0.522855
0.331049,0.521800
0.346096,0.521800
0.361144,0.521097
0.376192,0.521097
0.391240,0.520745
0.406287,0.520394
0.421335,0.520394
0.436383,0.520394
0.451430,0.520394
0.466478,0.520394
0.481526,0.520394
0.496573,0.520394
0.511621,0.520394
0.526669,0.520394
0.541716,0.520042
0.556764,0.520042
0.571812,0.520042
0.586859,0.520042
0.601907,0.520394
0.616955,0.520394
0.632002,0.520394
0.647050,0.520394
0.662098,0.520042
0.677145,0.520042
0.692193,0.520042
0.707241,0.519691
0.722288,0.519691
0.737336,0.519691
0.752384,0.519691
0.767431,0.519691
0.782479,0.519339
0.797527,0.519339
0.812574,0.519339
0.827622,0.519339
0.842670,0.519339
0.857717,0.519339
0.872765,0.519339
0.887813,0.519339
0.902860,0.519339
0.917908,0.518987
0.932956,0.518987
0.948003,0.518987
0.963051,0.518987
0.978099,0.518987
0.993146,0.518987
1.008194,0.518987
1.023242,0.518636
1.038289,0.518636
1.053337,0.518636
1.068385,0.518284
1.083432,0.518284
1.098480,0.518284
1.113528,0.517932
1.128575,0.517932
1.143623,0.517932
1.158671,0.517932
1.173718,0.517932
1.188766,0.517932
1.203814,0.517932
1.218861,0.517932
1.233909,0.517932
1.248957,0.517932
1.264004,0.517932
1.279052,0.517932
1.294100,0.517932
1.309147,0.517932
1.324195,0.517932
1.339243,0.517932
1.354291,0.517932
1.369338,0.517932
1.384386,0.517581
1.399434,0.517581
1.414481,0.517581
1.429529,0.517581
1.444577,0.517581
1.459624,0.517581
1.474672,0.517932
1.489720,0.517932
1.504767,0.517581
1.519815,0.517581
1.534863,0.517581
1.549910,0.517229
1.564958,0.517229
1.580006,0.517229
1.595053,0.517229
1.610101,0.517229
1.625149,0.517229
1.640196,0.517229
1.655244,0.516878
1.670292,0.516878
1.685339,0.516526
1.700387,0.516526
1.715435,0.516526
1.730482,0.516526
1.745530,0.516174
1.760578,0.516174
1.775625,0.516174
1.790673,0.515823
1.805721,0.515823
1.820768,0.515823
1.835816,0.515823
1.850864,0.515471
1.865911,0.515471
1.880959,0.515471
1.896007,0.515471
1.911054,0.515471
1.926102,0.515471
1.941150,0.515471
1.956197,0.515471
1.971245,0.515471
1.986293,0.515471
2.001340,0.515471
2.016388,0.515471
2.031436,0.515471
2.046483,0.515471
2.061531,0.515471
2.076579,0.515471
2.091626,0.515471
2.106674,0.515471
2.121722,0.515471
2.136769,0.515471
2.151817,0.515471
2.166865,0.515471
