threshold,accuracy
0.000129,0.500352
0.001130,0.501406
0.002131,0.501406
0.003132,0.503165
0.004132,0.503165
0.005133,0.503516
0.006134,0.504219
0.007134,0.504571
0.008135,0.505626
0.009136,0.505977
0.010136,0.505977
0.011137,0.505977
0.012138,0.506329
0.013139,0.506681
0.014139,0.506681
0.015140,0.506681
0.016141,0.506681
0.017141,0.506681
0.018142,0.507032
0.019143,0.507032
0.020143,0.507032
0.021144,0.507032
0.022145,0.507032
0.023146,0.507032
0.024146,0.507032
0.025147,0.507384
0.026148,0.507384
0.027148,0.507736
0.028149,0.507736
0.029150,0.507736
0.030150,0.507736
0.031151,0.508087
0.032152,0.508087
0.033153,0.508087
0.034153,0.508087
0.035154,0.508087
0.036155,0.508087
0.037155,0.508087
0.038156,0.508439
0.039157,0.508790
0.040158,0.508790
0.041158,0.508790
0.042159,0.508790
0.043160,0.508790
0.044160,0.508790
0.045161,0.509142
0.046162,0.509494
0.047162,0.509494
0.048163,0.509494
0.049164,0.509494
0.050165,0.509494
0.051165,0.509494
0.052166,0.509494
0.053167,0.509494
0.054167,0.509494
0.055168,0.509845
0.056169,0.509845
0.057169,0.509845
0.058170,0.509845
0.059171,0.510197
0.060172,0.510197
0.061172,0.510197
0.062173,0.510197
0.063174,0.510197
0.064174,0.510197
0.065175,0.510197
0.066176,0.510549
0.067176,0.510549
0.068177,0.510549
0.069178,0.510549
0.070179,0.510549
0.071179,0.510900
0.072180,0.511252
0.073181,0.511252
0.074181,0.511252
0.075182,0.511252
0.076183,0.511252
0.077183,0.511252
0.078184,0.511252
0.079185,0.511252
0.080186,0.511252
0.081186,0.511252
0.082187,0.511252
0.083188,0.511252
0.084188,0.511603
0.085189,0.511603
0.086190,0.511603
0.087191,0.511603
0.088191,0.511603
0.089192,0.511603
0.090193,0.511603
0.091193,0.511603
0.092194,0.511603
0.093195,0.511603
0.094195,0.511955
0.095196,0.511955
0.096197,0.511955
0.097198,0.511955
0.098198,0.511955
0.099199,0.511955
0.100200,0.511955
0.101200,0.511955
0.102201,0.511955
0.103202,0.511955
0.104202,0.511955
0.105203,0.511955
0.106204,0.511955
0.107205,0.511955
0.108205,0.511955
0.109206,0.511955
0.110207,0.511955
0.111207,0.511955
0.112208,0.511955
0.113209,0.511955
0.114209,0.511955
0.115210,0.512658
0.116211,0.512658
0.117212,0.512658
0.118212,0.512658
0.119213,0.512658
0.120214,0.513010
0.121214,0.513010
0.122215,0.513010
0.123216,0.513010
0.124216,0.513361
0.125217,0.513361
0.126218,0.513361
0.127219,0.513361
0.128219,0.513361
0.129220,0.513361
0.130221,0.513361
0.131221,0.513361
0.132222,0.513361
0.133223,0.513713
0.134223,0.513713
0.135224,0.513713
0.136225,0.513713
0.137226,0.513713
0.138226,0.513713
0.139227,0.513713
0.140228,0.513713
0.141228,0.513713
0.142229,0.513713
0.143230,0.513713
0.144231,0.513713
0.145231,0.513713
0.146232,0.513713
0.147233,0.513713
0.148233,0.513713
0.149234,0.513713
0.150235,0.513713
0.151235,0.514065
0.152236,0.514065
0.153237,0.514416
0.154238,0.514416
0.155238,0.514416
0.156239,0.514416
0.157240,0.514416
0.158240,0.514416
0.159241,0.514416
0.160242,0.514416
0.161242,0.514416
0.162243,0.514416
0.163244,0.514416
0.164245,0.514416
0.165245,0.514416
0.166246,0.514416
0.167247,0.514416
0.168247,0.514416
0.169248,0.514416
0.170249,0.514416
0.171249,0.514416
0.172250,0.514416
0.173251,0.514416
0.174252,0.514416
0.175252,0.514416
0.176253,0.514416
0.177254,0.514416
0.178254,0.514416
0.179255,0.514416
0.180256,0.514416
0.181256,0.514768
0.182257,0.514768
0.183258,0.514768
0.184259,0.514768
0.185259,0.514768
0.186260,0.514768
0.187261,0.514768
0.188261,0.514768
0.189262,0.514768
0.190263,0.515120
0.191263,0.515120
0.192264,0.515120
0.193265,0.515120
0.194266,0.515120
0.195266,0.515120
0.196267,0.515120
0.197268,0.515120
0.198268,0.515120
0.199269,0.515120
0.200270,0.515120
0.201271,0.515120
0.202271,0.515120
0.203272,0.515120
0.204273,0.515120
0.205273,0.515471
0.206274,0.515471
0.207275,0.515471
0.208275,0.515471
0.209276,0.515471
